"Lines","Path"
"371","frontend\src\apps\employee\pages\EmployeePortalPage.tsx"
"315","frontend\src\shared\types\api.ts"
"291","frontend\src\apps\admin\pages\HallManagement.tsx"
"277","frontend\src\apps\admin\pages\StallInventory.tsx"
"252","frontend\src\apps\admin\components\HallManagement\HallDetailsModal.tsx"
"226","frontend\src\apps\admin\pages\Dashboard.tsx"
"221","frontend\src\apps\admin\pages\StallDesigner\StallDesignerPage.tsx"
"218","frontend\src\shared\types\stallMap.utils.ts"
"203","frontend\src\apps\admin\pages\AdminReservationManager.tsx"
"201","frontend\src\shared\api\adminApi.ts"
"192","frontend\src\apps\admin\pages\StallDesigner\DesignerCanvas.tsx"
"188","frontend\src\apps\vendor\pages\VendorReservationDetailPage.tsx"
"174","frontend\src\shared\components\ReservationTicket.tsx"
"172","frontend\src\apps\admin\components\ReservationManager\ReservationTable.tsx"
"168","frontend\src\apps\admin\components\HallManagement\HallWizard.tsx"
"158","frontend\src\apps\admin\pages\StallPricing.tsx"
"152","frontend\src\apps\vendor\pages\DocumentsPage.tsx"
